hum,tgt
NLRP12,Nlrp12
MYADM,Myadm
SYT12,Syt12
CENPL,Cenpl
SMDT1,Smdt1
LONRF1,Lonrf1
ACY3,Acy3
YTHDC1,Ythdc1
MIDEAS,Mideas
LIN52,Lin52
ZNF804A,Zfp804a
NEK9,Nek9
CABLES1,Cables1
NXPE3,Nxpe3
CHMP7,Chmp7
ALKBH8,Alkbh8
MYLK3,Mylk3
EXOC3L4,Exoc3l4
WDR20,Wdr20
CHRDL1,Chrdl1
CALML4,Calml4
MARVELD3,Marveld3
RFT1,Rft1
TTC5,Ttc5
FDXACB1,Fdxacb1
C11orf52,C8h11orf52
NDUFAF2,Ndufaf2
ARRDC4,Arrdc4
COG7,Cog7
EOLA1,Eola2
MYOZ3,Myoz3
TPGS1,Tpgs1
CCNQ,Ccnq
SLC25A51,Slc25a51
SNX29,Snx29
ZC3HAV1L,Zc3hav1l
INTS4,Ints4
OXNAD1,Oxnad1
DSEL,Dsel
RIPPLY1,Ripply1
MTDH,Mtdh
MTSS2,Mtss2
TMEM88,Tmem88
MTG1,Mtg1
UBTD2,Ubtd2
DAPL1,Dapl1
CDHR1,Cdhr1
STYXL2,Styxl2
RCSD1,Rcsd1
LMBRD2,Lmbrd2
KGD4,Kgd4
CAPN13,Capn13
TMEM132C,Tmem132c
SCGB3A1,Scgb3a1
TMEM129,Tmem129
MEX3A,Mex3a
STRADA,Strada
PRR29,Prr29
METTL18,Mettl18
GORAB,Gorab
NAF1,Naf1
C1orf105,C13h1orf105
CRB3,Crb3
SPSB4,Spsb4
PXYLP1,Pxylp1
MRRF,Mrrf
RBM18,Rbm18
CHMP4C,Chmp4c
BBIP1,Bbip1
LDHAL6B,Ldhal6b
SPECC1,Specc1
BICDL1,Bicdl1
FANK1,Fank1
G6PC3,G6pc3
ASB16,Asb16
MOB1B,Mob1b
TIMM50,Timm50
TIFA,Tifa
MGME1,Mgme1
DTD1,Dtd1
FAM114A1,Fam114a1
TMEM169,Tmem169
TMEM183A,Tmem183a
ARRDC1,Arrdc1
DPH7,Dph7
OTOP2,Otop2
DNER,Dner
SLC38A5,Slc38a5
BPIFB1,Bpifb1
DRC1,Drc1
HELB,Helb
SHKBP1,Shkbp1
H2AC25,H2ac25
ZNF276,Zfp276
REEP6,Reep6
IMP4,Imp4
HNRNPLL,Hnrnpll
UBE2Q2,Ube2q2
CCDC102A,Ccdc102a
MARS2,Mars2
ADAMTSL1,Adamtsl1
PEX11G,Pex11g
MARCHF9,Marchf9
ZBTB47,Zbtb47
B3GNT7,B3gnt7
NT5C1B,Nt5c1b
PKHD1L1,Pkhd1l1
COQ10A,Coq10a
TEX30,Tex30
NEURL3,Neurl3
DMKN,Dmkn
NAPRT,Naprt
KCNG4,Kcng4
TMEM44,Tmem44
ORAI3,Orai3
OLFM2,Olfm2
PRDM6,Prdm6
PIGM,Pigm
IGSF8,Igsf8
CFAP107,Cfap107
PGAP3,Pgap3
ODAD1,Odad1
LEMD1,Lemd1
HAUS8,Haus8
MVB12A,Mvb12a
OPALIN,Opalin
MMGT1,Mmgt1
MYL10,Myl10
SYCE1,Syce1
MGAM2,Mgam2
ARMC6,Armc6
MAPK1IP1L,Mapk1ip1l
SDR42E1,Sdr42e1
ZFAND4,Zfand4
TRMT10A,Trmt10a
CACNA2D4,Cacna2d4
TBC1D31,Tbc1d31
FBXO44,Fbxo44
MRFAP1,Mrfap1
TADA2B,Tada2b
TBCK,Tbck
TJAP1,Tjap1
MYOCD,Myocd
ACP4,Acp4
CAPZA3,Capza3
ARHGAP18,Arhgap18
CADPS2,Cadps2
ACTR8,Actr8
ATP5IF1,Atp5if1
CLEC6A,Clec6a-ps1
CPA5,Cpa5
FOXP2,Foxp2
PIGS,Pigs
TTYH2,Ttyh2
MUC16,Muc16
POM121L2,Pom121l2
LRRC4B,Lrrc4b
HTRA3,Htra3
CAMK2N2,Camk2n2
FTMT,Ftmt
SYAP1,Syap1
LENG9,Leng9
SFXN1,Sfxn1
HSPB9,Hspb9
SFXN5,Sfxn5
ORMDL1,Ormdl1
ORMDL3,Ormdl3
PAXBP1,Paxbp1
TMEM203,Tmem203
SYTL3,Sytl3
SYTL4,Sytl4
SYTL5,Sytl5
ARHGAP12,Arhgap12
RP1L1,Rp1l1
ABCC12,Abcc12
OPN4,Opn4
FOXQ1,Foxq1
GNG8,Gng8
H2AZ2,H2az2
EPSTI1,Epsti1
TP53INP1,Tp53inp1
PPP1R14A,Ppp1r14a
CEP41,Cep41
FNIP1,Fnip1
TGS1,Tgs1
EGLN2,Egln2
EGLN3,Egln3
CAVIN3,Cavin3
PRRT2,Prrt2
ERI2,Eri2
SAT2,Sat2
DTD2,Dtd2
GTF3C6,Gtf3c6
SNX18,Snx18
MRAP2,Mrap2
RWDD2A,Rwdd2a
CMTM7,Cmtm7
GARIN5A,Garin5a
RDH13,Rdh13
IL17F,Il17f
IFT43,Ift43
STX1B,Stx1b
GLMP,Glmp
FDX2,Fdx2
HOGA1,Hoga1
WDR89,Wdr89
L3HYPDH,L3hypdh
SGF29,Sgf29
PHF21B,Phf21b
VPS26B,Vps26b
GLB1L3,Glb1l3
NACC1,Nacc1
CFAP36,Cfap36
KTI12,Kti12
RPUSD1,Rpusd1
PLCD3,Plcd3
PTH2,Pth2
MTFR2,Mtfr2
CDCA5,Cdca5
AHNAK2,Ahnak2
SAAL1,Saal1
IZUMO4,Izumo4
SCAMP4,Scamp4
ADAT3,Adat3
CHST14,Chst14
GOLM2,Golm2
KIF12,Kif12
MISP3,Misp3
SLC46A1,Slc46a1
C12orf57,Grcc10
LARP4,Larp4
GLCCI1,Glcci1
TMEM106A,Tmem106a
SLC52A3,Slc52a3
SFT2D1,Sft2d1
TEX261,Tex261
SMIM12,Smim12
AZIN2,Azin2
TMEM54,Tmem54
HELQ,Helq
CMTM1,Cmtm1
CYP2U1,Cyp2u1
ADPRHL1,Adprhl1
MFSD3,Mfsd3
SDSL,Sdsl
KLHDC7B,Klhdc7b
CIMAP1A,Cimap1a
PIK3IP1,Pik3ip1
HENMT1,Henmt1
FAM83F,Fam83f
SLC35A4,Slc35a4
DTX2,Dtx2
ZIM3,Zim3
TOE1,Toe1
BUD23,Bud23
TRIM9,Trim9
TXNRD3,Txnrd3
UCN3,Ucn3
SLC2A13,Slc2a13
LACTB,Lactb
EFHC1,Efhc1
NLRP3,Nlrp3
MAL2,Mal2
TIRAP,Tirap
MIR155HG,Mir155hg
ERMAP,Ermap
CYGB,Cygb
PGLYRP2,Pglyrp2
PGLYRP3,Pglyrp3
PKD1L2,Pkd1l2
BTBD9,Btbd9
LMTK3,Lmtk3
CSMD2,Csmd2
MBD6,Mbd6
XKR4,Xkr4
GPRIN1,Gprin1
CSMD3,Csmd3
SLC25A25,Slc25a25
STK11IP,Stk11ip
TUBGCP5,Tubgcp5
KLHL32,Klhl32
FMNL2,Fmnl2
ELFN2,Elfn2
TMEM132B,Tmem132b
SLITRK1,Slitrk1
ESCO1,Esco1
CCDC85A,Ccdc85a
TMEM200A,Tmem200a
MYSM1,Mysm1
RNF157,Rnf157
GALNT13,Galnt13
SORCS1,Sorcs1
KLHL29,Klhl29
RHPN1,Rhpn1
LENG8,Leng8
PNMA5,Pnma5
PWWP2A,Pwwp2a
SMYD4,Smyd4
FHAD1,Fhad1
SLAMF6,Slamf6
OSBPL1A,Osbpl1a
OSBPL5,Osbpl5
OSBPL6,Osbpl6
OSBPL7,Osbpl7
OSBPL8,Osbpl8
OSBPL9,Osbpl9
OSBPL10,Osbpl10
OSBPL11,Osbpl11
C1QTNF1,C1qtnf1
C1QTNF2,C1qtnf2
C1QTNF3,C1qtnf3
C1QTNF4,C1qtnf4
C1QTNF5,C1qtnf5
C1QTNF6,C1qtnf6
C1QTNF7,C1qtnf7
FBXO32,Fbxo32
TMEM123,Tmem123
SMIM19,Smim19
GPRASP2,Gprasp2
TSGA13,Tsga13
PTPMT1,Ptpmt1
FLYWCH2,Flywch2
WDR31,Wdr31
VASN,Vasn
ZNF618,Zfp618
CGAS,Cgas
SLC26A9,Slc26a9
NT5C3B,Nt5c3b
CCDC124,Ccdc124
HAUS1,Haus1
SLC26A7,Slc26a7
MARCHF3,Marchf3
ATG4A,Atg4a
KCTD12,Kctd12
OMA1,Oma1
DDIT4L,Ddit4l
RAB42,Rab42
SLC25A26,Slc25a26
FBXO17,Fbxo17
PCMTD1,Pcmtd1
GPR146,Gpr146
FCRL1,Fcrl1
LRRC42,Lrrc42
LRRC56,Lrrc56
MALSU1,Malsu1
UHRF2,Uhrf2
ZNF689,Zfp689
FCHO2,Fcho2
ARHGEF25,Arhgef25
TENT5B,Tent5b
SLC5A11,Slc5a11
TNFRSF13C,Tnfrsf13c
NOSTRIN,Nostrin
ALPK2,Alpk2
ARHGAP33,Arhgap33
EVI5L,Evi5l
TRMT61A,Trmt61a
RASGRP4,Rasgrp4
C12orf56,C7h12orf56
DIS3L,Dis3l
ARL11,Arl11
FANCD2OS,Fancd2os
IQCD,Iqcd
DHRS1,Dhrs1
WDFY2,Wdfy2
RAB3C,Rab3c
NXNL1,Nxnl1
CTHRC1,Cthrc1
TSR3,Tsr3
ODAD3,Odad3
ZNF653,Zfp653
RNF166,Rnf166
RMI2,Rmi2
OSR2,Osr2
LRRC58,Lrrc58
LYSMD3,Lysmd3
BATF2,Batf2
SLC22A12,Slc22a12
DNTTIP1,Dnttip1
FOXP4,Foxp4
ZNF526,Zfp526
LRRC3B,Lrrc3b
KLHDC3,Klhdc3
DNAAF10,Dnaaf10
NUS1,Nus1
FAM210B,Fam210b
PHACTR3,Phactr3
CYYR1,Cyyr1
CMTM5,Cmtm5
TGM7,Tgm7
TM4SF19,Tm4sf19
PABIR1,Pabir1
ZMYND19,Zmynd19
COX20,Cox20
ABHD15,Abhd15
TLCD1,Tlcd1
GINM1,Ginm1
MOGAT1,Mogat1
ACSM1,Acsm1
C8orf34,C5h8orf34
PANX3,Panx3
RBP7,Rbp7
SLC26A8,Slc26a8
LYPD1,Lypd1
IL22RA2,Il22ra2
GRIN3A,Grin3a
GRIN3B,Grin3b
TOP1MT,Top1mt
OLIG1,Olig1
CLNK,Clnk
TSEN15,Tsen15
NIBAN1,Niban1
MRGPRD,Mrgprd
APOA5,Apoa5
MRGPRE,Mrgpre
MRGPRF,Mrgprf
MRPL53,Mrpl53
MRPL54,Mrpl54
PPP1R27,Ppp1r27
HSPA12B,Hspa12b
CNTROB,Cntrob
SNAP47,Snap47
LEAP2,Leap2
SLC18B1,Slc18b1
LRG1,Lrg1
MED12L,Med12l
WDR17,Wdr17
ART5,Art5
ACAP3,Acap3
ARAP2,Arap2
ARAP1,Arap1
AGAP2,Agap2
AGAP1,Agap1
AGAP3,Agap3
TADA1,Tada1
CATSPER1,Catsper1
THEM4,Them4
DACH2,Dach2
CATSPER2,Catsper2
SCGB3A2,Scgb3a2
WFIKKN1,Wfikkn1
RAB3IP,Rab3ip
SSX2IP,Ssx2ip
PLAAT5,Plaat5
FTSJ3,Ftsj3
SLC16A10,Slc16a10
GALNT15,Galnt15
IP6K3,Ip6k3
DEFB118,Defb21
CIB3,Cib3
TAGAP,Tagap
TMC1,Tmc1
TMC2,Tmc2
RLN3,Rln3
TWIST2,Twist2
PARD3B,Pard3b
RFFL,Rffl
ZNF354B,Znf354b
TRIM6,Trim6
UBE2J2,Ube2j2
BORCS5,Borcs5
OLFM3,Olfm3
ANTXR2,Antxr2
GPR62,Gpr62
EXOSC6,Exosc6
C10orf71,C16h10orf71
PRAP1,Prap1
ZNF511,Zfp511
CHCHD1,Chchd1
MSS51,Mss51
CFAP70,Cfap70
C10orf90,C1h10orf90
BTBD16,Btbd16
FAM24A,Fam24a
PSTK,Pstk
ZNF488,Zfp488
PIK3AP1,Pik3ap1
MORN4,Morn4
ZFYVE27,Zfyve27
MMP21,Mmp21
COMTD1,Comtd1
FRA10AC1,Fra10ac1
ANKRD22,Ankrd22
SFXN2,Sfxn2
PDZD8,Pdzd8
BORCS7,Borcs7
GSTO2,Gsto2
SFR1,Sfr1
CALHM3,Calhm3
CLRN3,Clrn3
ANAPC16,Anapc16
SFXN4,Sfxn4
CPXM2,Cpxm2
OR52E2,Or52e2
OR51L1,Or51l1
OR51A7,Or51a7
OR51S1,Or51s1
OR51F2,Or51f2
IFTAP,Iftap
OR52M1,Or52m1
LARGE2,Large2
SLC36A4,Slc36a4
FAT3,Fat3
TMEM45B,Tmem45b
CYP2R1,Cyp2r1
DBX1,Dbx1
POU2AF3,Pou2af3
PIH1D2,Pih1d2
NXPE1,Nxpe1
NXPE2,Nxpe2
JAML,Jaml
DNAJC24,Dnajc24
ARL14EP,Arl14ep
OR8I2,Or8i2
OR52W1,Or52w1
LRRK2,Lrrk2
CCDC38,Ccdc38
TMEM52B,Tmem52b
FAM186A,Fam186a
NOPCHAP1,Nopchap1
SDR9C7,Sdr9c7
LRIG3,Lrig3
TMEM132D,Tmem132d
SLC15A4,Slc15a4
RHEBL1,Rhebl1
ZNF641,Zfp641
TPH2,Tph2
SP7,Sp7
GTSF1,Gtsf1
NEDD1,Nedd1
IKBIP,Ikbip
ERP27,Erp27
FGD4,Fgd4
AEBP2,Aebp2
ASCL4,Ascl4
ABTB3,Abtb3
SPIC,Spic
ANO4,Ano4
ALKBH2,Alkbh2
FOXN4,Foxn4
SPPL3,Sppl3
TEX29,Tex29
RXFP2,Rxfp2
TEX26,Tex26
SLAIN1,Slain1
SPACA7,Spaca7
TDRD9,Tdrd9
ANKRD9,Ankrd9
AK7,Ak7
DORIP1,Dorip1
TRAPPC6B,Trappc6b
CLBA1,Clba1
PLD4,Pld4
ADSS1,Adss1
RNASE11,Rnase11
TPPP2,Tppp2
MRPL52,Mrpl52
PSMB11,Psmb11
LRR1,Lrr1
KLHDC1,Klhdc1
FRMD6,Frmd6
SOCS4,Socs4
NAA30,Naa30
GPHB5,Gphb5
NOXRED1,Noxred1
JDP2,Jdp2
ISCA2,Isca2
ACOT4,Acot4
TTC8,Ttc8
TC2N,Tc2n
SLC24A4,Slc24a4
SLC25A29,Slc25a29
DEGS2,Degs2
KLHL33,Klhl33
LEO1,Leo1
C15orf40,C1h15orf40
SENP8,Senp8
MTFMT,Mtfmt
SLC51B,Slc51b
TARS3,Tars3
LRRC28,Lrrc28
TMEM266,Tmem266
NIPA1,Nipa1
AGBL1,Agbl1
HYKK,Hykk
WHAMM,Whamm
FSD2,Fsd2
PLA2G4E,Pla2g4e
C16orf46,C19h16orf46
NTAN1,Ntan1
CEP20,Cep20
DNAAF1,Dnaaf1
DCUN1D3,Dcun1d3
NRN1L,Nrn1l
CMTM3,Cmtm3
C16orf78,C19h16orf78
SPATA2L,Spata2L
SPATA33,Spata33
NOXO1,Noxo1
CCDC78,Ccdc78
IQCK,Iqck
ZG16B,Zg16b
PAQR4,Paqr4
ZC3H18,Zc3h18
GPR139,Gpr139
CDYL2,Cdyl2
ANKS3,Anks3
UBALD1,Ubald1
SEPTIN12,Septin12
TMEM219,Tmem219
EARS2,Ears2
SNX20,Snx20
TMEM170A,Tmem170a
METTL23,Mettl23
HSF5,Hsf5
MSI2,Msi2
SLC38A10,Slc38a10
CANT1,Cant1
USH1G,Ush1g
CD300LB,Cd300lb
KIF19,Kif19
ZPBP2,Zpbp2
CYB5D1,Cyb5d1
OVCA2,Ovca2
USP43,Usp43
CHCT1,Chct1
SPATA32,Spata32
HEXIM2,Hexim2
LSM12,Lsm12
CCDC43,Ccdc43
CNTD1,Cntd1
TMEM132E,Tmem132e
WFIKKN2,Wfikkn2
B4GALNT2,B4galnt2
SPACA3,Spaca3
RSKR,Rskr
SEZ6,Sez6
ANKRD13B,Ankrd13b
SLC43A2,Slc43a2
CYB5D2,Cyb5d2
BACC1,Bacc1
ZFP3,Zfp3
GGT6,Ggt6
SPNS2,Spns2
MRPL10,Mrpl10
WDR81,Wdr81
TBC1D16,Tbc1d16
AFMID,Afmid
GJD3,Gjd3
KRT222,Krt222
KRT40,Krt40
ZSWIM7,Zswim7
MIEF2,Mief2
SLC5A10,Slc5a10
FAM210A,Fam210a
LOXHD1,Loxhd1
INO80C,Ino80c
TTC39C,Ttc39c
DIPK1C,Dipk1c
CLDND2,Cldnd2
CEACAM20,Ceacam20
RAVER1,Raver1
OR1M1,Or1m1
COX6B2,Cox6b2
CALR3,Calr3
ACER1,Acer1
MICOS13,Micos13
TRAPPC5,Trappc5
PCP2,Pcp2
OSCAR,Oscar
SWSAP1,Swsap1
CCDC159,Ccdc159
JOSD2,Josd2
IZUMO2,Izumo2
CPT1C,Cpt1c
ALDH16A1,Aldh16a1
NTN5,Ntn5
NLRP5,Nlrp5
ZNF787,Zfp787
WDR88,Wdr88
EID2B,Eid2b
TNFAIP8L1,Tnfaip8l1
IRGQ,Irgq
ZNF428,Zfp428
JSRP1,Jsrp1
MOB3A,Mob3a
MFSD12,Mfsd12
GIPC3,Gipc3
NDUFA11,Ndufa11
MISP,Misp
LRRC25,Lrrc25
OR1I1,Or1i2
WTIP,Wtip
NR2C2AP,Nr2c2ap
HSPB6,Hspb6
TEKTL1,Tektl1
CYP4F22,Cyp4f39
RINL,Rinl
FBXO27,Fbxo27
PLK5,Plk5
C19orf47,C1h19orf47
ANKLE1,Ankle1
C2CD4C,C2cd4c
GABPB2,Gabpb2
TCHHL1,Tchhl1
RPTN,Rptn
CCDC163,Ccdc163
SHE,She
KDF1,Kdf1
CCSAP,Ccsap
LRRC38,Lrrc38
AADACL3,Aadacl3
PUSL1,Pusl1
B3GALT6,B3galt6
DNAI3,Dnai3
KLHDC9,Klhdc9
AXDND1,Axdnd1
MAB21L3,Mab21l3
IFFO2,Iffo2
SLC44A3,Slc44a3
ATXN7L2,Atxn7l2
CFAP276,Cfap276
LYPLAL1,Lyplal1
ATP6V1G3,Atp6v1g3
ASB17,Asb17
TYW3,Tyw3
ERICH3,Erich3
LRRIQ3,Lrriq3
TPRG1L,Tprg1l
PRXL2B,Prxl2b
MYOM3,Myom3
DMBX1,Dmbx1
TMCO2,Tmco2
TCEANC2,Tceanc2
PODN,Podn
LRRC39,Lrrc39
GJB4,Gjb4
HMGB4,Hmgb4
RNF19B,Rnf19b
A3GALT2,A3galt2
DCST2,Dcst2
DNAH14,Dnah14
ZNF648,Zfp648
C1orf122,C5h1orf122
OSCP1,Oscp1
C1orf216,C5h1orf216
KLHDC7A,Klhdc7a
VWA5B1,Vwa5b1
UBXN10,Ubxn10
C1orf87,C5h1orf87
ARL8A,Arl8a
SYT2,Syt2
GOLT1A,Golt1a
UHMK1,Uhmk1
FCRLB,Fcrlb
WDR64,Wdr64
FSAF1,Fsaf1
LIX1L,Lix1l
SPATA17,Spata17
EDARADD,Edaradd
KLF17,Klf17
TSACC,Tsacc
IQGAP3,Iqgap3
NAXE,Naxe
ARHGEF19,Arhgef19
MRPL55,Mrpl55
DRAM2,Dram2
CIMAP3,Cimap3
C1orf162,C2h1orf162
OR6P1,Or6p1
OR10Z1,Or10z1
OR6K6,Or6k6
TATDN3,Tatdn3
BHLHE23,Bhlhe23
NKAIN4,Nkain4
VSTM2L,Vstm2l
FITM2,Fitm2
WFDC12,Wfdc12
SPATA25,Spata25
OCSTAMP,Ocstamp
TSHZ2,Tshz2
CIMIP1,Cimip1
ZNF831,Zfp831
TBC1D20,Tbc1d20
C20orf141,LOC129351010
PROKR2,Prokr2
SLX4IP,Slx4ip
CSTL1,Cstl1
DUSP15,Dusp15
BPIFB6,Bpifb6
BPIFA3,Bpifa3
C20orf144,C3h20orf144
CHMP4B,Chmp4b
PIGU,Pigu
FAM83C,Fam83c
C22orf39,C11h22orf39
TANGO2,Tango2
SGSM1,Sgsm1
EMID1,Emid1
ANKRD54,Ankrd54
PPP1R21,Ppp1r21
TMEM150A,Tmem150a
NUP35,Nup35
XIRP2,Xirp2
TYW5,Tyw5
NMS,Nms
LYG1,Lyg1
MITD1,Mitd1
DIS3L2,Dis3l2
CMPK2,Cmpk2
MBOAT2,Mboat2
TAF8,Taf8
TMEM18,Tmem18
FBLN7,Fbln7
NEU4,Neu4
RBM45,Rbm45
CIMIP6,Cimip6
BBS5,Bbs5
CFAP210,Cfap210
ACMSD,Acmsd
ICA1L,Ica1l
FAM168B,Fam168b
OR9A4,Or9a4
CIB4,Cib4
RFTN2,Rftn2
CLHC1,Clhc1
PLEKHH2,Plekhh2
AP1S3,Ap1s3
C2orf76,C13h2orf76
SGPP2,Sgpp2
ACVR1C,Acvr1c
OSR1,Osr1
TTC32,Ttc32
UBR3,Ubr3
KCTD18,Kctd18
FLACC1,Flacc1
ZNF513,Zfp513
SPATA3,Spata3
LYPD6,Lypd6
LYPD6B,Lypd6b
GALM,Galm
TMEM198,Tmem198
ZFAND2B,Zfand2b
TMEM178A,Tmem178a
CPO,Cpo
MDH1B,Mdh1b
CIMIP5,Cimip5
SLC66A3,Slc66a3
TMEM182,Tmem182
FBXO36,Fbxo36
MTERF4,Mterf4
CCDC148,Ccdc148
M1AP,M1ap
CPNE4,Cpne4
MIX23,Mix23
KCNH8,Kcnh8
DNAJC19,Dnajc19
OTOL1,Otol1
FAM3D,Fam3d
ZPLD1,Zpld1
LYZL4,Lyzl4
KLHL40,Klhl40
TRIM71,Trim71
FAM131A,Fam131a
CHCHD4,Chchd4
ZDHHC19,Zdhhc19
CRYBG3,Crybg3
DCBLD2,Dcbld2
LRRC15,Lrrc15
FAM43A,Fam43a
TPRA1,Tpra1
TMEM42,Tmem42
UROC1,Uroc1
ERICH6,Erich6
NUDT16,Nudt16
COL6A6,Col6a6
TMEM207,Tmem207
METTL6,Mettl6
TAMM41,Tamm41
IL17RE,Il17re
RTP1,Rtp1
IQCF1,Iqcf1
GLYCTK,Glyctk
PPM1M,Ppm1m
C3orf49,C15h3orf49
SNTN,Sntn
SYNPR,Synpr
LSMEM2,Lsmem2
H1-8,H1f8
OCIAD2,Ociad2
SCLT1,Sclt1
C4orf33,C2h4orf33
SMIM43,Smim43
PABPC4L,Pabpc4l
ADAD1,Adad1
ZFP42,Zfp42
LIN54,Lin54
SPATA18,Spata18
FAM241A,Fam241a
TMPRSS11B,Tmprss11b
GNPDA2,Gnpda2
SPATA4,Spata4
CPEB2,Cpeb2
EVC2,Evc2
ARL9,Arl9
AASDH,Aasdh
PDCL2,Pdcl2
C4orf36,C14h4orf36
PACRGL,Pacrgl
TRAM1L1,Tram1l1
OTOP1,Otop1
ENPP6,Enpp6
SLC9B2,Slc9b2
SETD9,Setd9-ps1
IL31RA,Il31ra
EMB,Emb
C5orf47,C10h5orf47
PPARGC1B,Ppargc1b
MROH2B,Mroh2b
EGFLAM,Egflam
PRRC1,Prrc1
NADK2,Nadk2
CAPSL,Capsl
JMY,Jmy
C5orf58,C10h5orf58
ZNF474,Zfp474
CCDC127,Ccdc127
UBE2QL1,Ube2ql1
CFAP90,Cfap90
ATPSCKMT,Atpsckmt
CMBL,Cmbl
POU5F2,Pou5f2
DNAJC21,Dnajc21
AFAP1L1,Afap1l1
GRPEL2,Grpel2
TMEM171,Tmem171
TMEM174,Tmem174
LSM11,Lsm11
POC5,Poc5
GPR151,Gpr151
STARD4,Stard4
WDR36,Wdr36
NUDCD2,Nudcd2
UBLCP1,Ublcp1
ACOT12,Acot12
SOWAHA,Sowaha
SHROOM1,Shroom1
C5orf24,C17h5orf24
ADAT2,Adat2
RIPPLY2,Ripply2
IRAK1BP1,Irak1bp1
CLVS2,Clvs2
TAAR9,Taar9
TAAR1,Taar1
STXBP5,Stxbp5
NCOA7,Ncoa7
HINT3,Hint3
PACRG,Pacrg
B3GAT2,B3gat2
SDHAF4,Sdhaf4
CD109,Cd109
PM20D2,Pm20d2
SRSF12,Srsf12
C6orf141,C9h6orf141
HUS1B,Hus1b
TRIM40,Trim40
MUCL3,Mucl3
TMEM270,Tmem270
TRIM50,Trim50
OR9A2,Or9a2
LLCFC1,Llcfc1
TMEM139,Tmem139
NOBOX,Nobox
OR2A14,Or2a14
OR6B1,Or6b1
ZNF786,Zfp786
COL26A1,Col26a1
PRSS37,Prss37
KLF14,Klf14
SSMEM1,Ssmem1
C7orf57,C14h7orf57
SVOPL,Svopl
MTPN,Mtpn
LRGUK,Lrguk
ASB10,Asb10
PRSS58,Prss58
MPLKIP,Mplkip
SSC4D,Ssc4d
SPMIP4,Spmip4
ASZ1,Asz1
CLDN23,Cldn23
GOT1L1,Got1l1
CIBAR1,Cibar1
VPS37A,Vps37a
NDUFAF6,Ndufaf6
TMEM68,Tmem68
ABRA,Abra
LYPD2,Lypd2
NKX2-6,Nkx2-6
TMEM71,Tmem71
SGCZ,Sgcz
ADHFE1,Adhfe1
UBXN2B,Ubxn2b
GPAT4,Gpat4
UNC5D,Unc5d
LETM2,Letm2
RALYL,Ralyl
HGSNAT,Hgsnat
RNF183,Rnf183
NACC2,Nacc2
PIERCE1,Pierce1
CARNMT1,Carnmt1
C9orf57,C1h9orf57
C9orf85,C1h9orf85
CFAP95,Cfap95
LCN8,Lcn8
DIPK1B,Dipk1b
PTRH1,Ptrh1
PIP5KL1,Pip5kl1
PTPDC1,Ptpdc1
ARID3C,Arid3c
RPP25L,Rpp25l
SPATA31G1,Spata31g1
OR13C8,Or13c25
OR1L8,Or1l8
OR1N2,Or1n2
OR1N1,Or1n1b
SLITRK4,Slitrk4
BEND2,LOC120099333
PASD1,Pasd1
DGKK,Dgkk
DNAAF6,Dnaaf6
PWWP3B,Pwwp3b
FAM199X,Fam199x
AMER1,Amer1
APOOL,Apool
HDX,Hdx
FUNDC1,Fundc1
ADGRG4,Adgrg4
PTCHD1,Ptchd1
OTUD6A,Otud6a
UPRT,Uprt
MAGEE2,Magee2
MAGEB16,Mageb16
FOXR2,Foxr2
PNCK,Pnck
ZFP92,Zfp92
ACTRT1,Actrt1
GPR119,Gpr119
DOCK11,Dock11
SPIN4,Spin4
ASB11,Asb11
ASB5,Asb5
ASB6,Asb6
ASB7,Asb7
ASB8,Asb8
ASB9,Asb9
ZNF358,Zfp358
MYO3B,Myo3b
RNF32,Rnf32
S100A16,S100a16
CHODL,Chodl
SELENOM,Selenom
NEK7,Nek7
ZFP28,Zfp28
ACTRT2,Actrt2
GATA5,Gata5
SLC32A1,Slc32a1
C20orf96,C3h20orf96
BPIFA2,Bpifa2
ZBTB46,Zbtb46
WFDC3,Wfdc3
GCNT7,Gcnt7
NOL4L,Nol4l
CBLN4,Cbln4
CTCFL,Ctcfl1
TRIM69,Trim69
MROH8,Mroh8
SAMD10,Samd10
ABHD16B,Abhd16b
CCM2L,Ccm2l
BRI3BP,Bri3bp
MTCL2,Mtcl2
TLDC2,Tldc2
RIMS4,Rims4
ANKRD60,Ankrd60
SUN5,Sun5
MACROD2,Macrod2
DYNLL2,Dynll2
TMEM37,Tmem37
UBE2F,Ube2f
ADAMTS14,Adamts14
NRSN1,Nrsn1
SMCR8,Smcr8
RPL10L,Rpl10l
TRPM6,Trpm6
KRT72,Krt72
SRXN1,Srxn1
ROMO1,Romo1
NEURL2,Neurl2
ZSWIM3,Zswim3
WFDC10A,Wfdc10a
BANF2,Banf2
NANP,Nanp
SCP2D1,Scp2d1
ISM1,Ism1
C20orf173,C3h20orf173
RIPOR3,Ripor3
CST11,Cst11
DEFB129,Defb23
ZNF280B,Zfp280b
SIRPA,Sirpa
PABPC5,Pabpc5
SREK1,Srek1
RBBP8NL,Rbbp8nl
CNBD2,Cnbd2
STK35,Stk35
R3HDML,R3hdml
MIB2,Mib2
DUSP19,Dusp19
SLC34A3,Slc34a3
ASB15,Asb15
ASB14,Asb14
SAMD8,Samd8
TRUB1,Trub1
MPP7,Mpp7
FRMPD2,Frmpd2
VTI1A,Vti1a
DYDC1,Dydc1
HECTD2,Hectd2
FGFBP3,Fgfbp3
SPMIP5,Spmip5
CACUL1,Cacul1
SYT9,Syt9
